concessionaria,ano_do_pnv_snv,rodovia,sentido,latitude,longitude,km
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.13704,-48.90006,19.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.13775,-48.90065,19.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.13853,-48.90118,19.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.13929,-48.90171,19.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.14001,-48.90232,19.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.14063,-48.90289,20.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.14132,-48.90354,20.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.14202,-48.90418,20.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.14271,-48.90482,20.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.1434,-48.90546,20.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.14413,-48.90606,20.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.14487,-48.90663,20.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.14562,-48.9072,20.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.14637,-48.90775,20.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.14712,-48.90832,20.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.14854,-48.90918,21.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.15033,-48.90913,21.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.15121,-48.90896,21.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.15211,-48.90878,21.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.15299,-48.9086,21.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.15387,-48.90842,21.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.15476,-48.90824,21.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.15565,-48.90806,21.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.15653,-48.90788,21.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.1568,-48.90783,22.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.15858,-48.90755,22.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.1595,-48.90753,22.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.1604,-48.90751,22.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.1613,-48.90749,22.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.16221,-48.90747,22.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.16311,-48.90745,22.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.16402,-48.90743,22.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.16492,-48.90741,22.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.16573,-48.90739,23.0
