concessionaria;ano_do_pnv_snv;rodovia;km_m;sentido;latitude;longitude
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;564,665;Crescente;-20,392108;-44,494994
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;564,865;Crescente;-20,392998;-44,496662
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;565,065;Crescente;-20,393683;-44,498436
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;565,190;Crescente;-20,393897;-44,499316
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;588,732;Crescente;-20,539507;-44,641545
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;588,962;Crescente;-20,540662;-44,642999
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;589,162;Crescente;-20,541761;-44,644530
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;589,362;Crescente;-20,542924;-44,646002
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;589,562;Crescente;-20,544138;-44,647475
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;589,762;Crescente;-20,544517;-44,647932
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;589,857;Crescente;-20,544517;-44,647932
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;676,100;Crescente;-21,096877;-45,081658
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;676,300;Crescente;-21,097993;-45,083172
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;676,500;Crescente;-21,099151;-45,084651
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;676,700;Crescente;-21,100376;-45,086066
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;676,900;Crescente;-21,101725;-45,087348
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;677,100;Crescente;-21,103055;-45,088652
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;677,300;Crescente;-21,104528;-45,089767
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;677,500;Crescente;-21,106116;-45,090687
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;677,511;Crescente;-21,106390;-45,091027
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;684,470;Crescente;-21,161335;-45,119931
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;684,670;Crescente;-21,162253;-45,121586
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;684,870;Crescente;-21,163268;-45,123190
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;685,070;Crescente;-21,164266;-45,124781
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;685,092;Crescente;-21,164407;-45,124943
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;723,068;Crescente;-21,448824;-45,212246
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;723,234;Crescente;-21,450335;-45,213305
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;723,417;Crescente;-21,452056;-45,213893
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;723,617;Crescente;-21,453768;-45,214512
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;723,624;Crescente;-21,453824;-45,214294
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;723,642;Crescente;-21,453991;-45,214413
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;723,651;Crescente;-21,454073;-45,213898
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;723,669;Crescente;-21,454233;-45,214233
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;723,679;Crescente;-21,454328;-45,214539
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;723,701;Crescente;-21,454536;-45,214782
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;753,510;Crescente;-21,665307;-45,310256
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;753,710;Crescente;-21,665920;-45,312075
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;753,910;Crescente;-21,666479;-45,313913
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;754,110;Crescente;-21,666918;-45,315788
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;754,310;Crescente;-21,667135;-45,317707
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;754,510;Crescente;-21,667343;-45,319628
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;754,710;Crescente;-21,667552;-45,321548
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;754,910;Crescente;-21,667835;-45,323457
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;755,110;Crescente;-21,668388;-45,325297
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;755,132;Crescente;-21,668957;-45,326629
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;849,534;Crescente;-22,235224;-45,878301
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;849,734;Crescente;-22,236738;-45,879360
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;849,934;Crescente;-22,238284;-45,880365
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;850,052;Crescente;-22,239044;-45,880868
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;869,420;Crescente;-22,384965;-45,951532
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;869,620;Crescente;-22,386559;-45,952392
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;869,820;Crescente;-22,388152;-45,953307
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;870,020;Crescente;-22,389750;-45,954231
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;870,220;Crescente;-22,391296;-45,955272
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;870,420;Crescente;-22,392722;-45,956454
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;870,620;Crescente;-22,394134;-45,957647
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;870,820;Crescente;-22,395574;-45,958823
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;870,875;Crescente;-22,395888;-45,959214
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;898,610;Crescente;-22,612660;-46,064867
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;898,810;Crescente;-22,613859;-46,066301
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;899,010;Crescente;-22,615180;-46,067639
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;899,210;Crescente;-22,616409;-46,069051
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;899,410;Crescente;-22,617789;-46,070270
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;899,486;Crescente;-22,618320;-46,070775
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;927,216;Crescente;-22,767233;-46,218506
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;927,416;Crescente;-22,766431;-46,220251
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;927,616;Crescente;-22,765773;-46,222065
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;927,816;Crescente;-22,765895;-46,224008
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;928,016;Crescente;-22,766875;-46,225645
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;928,216;Crescente;-22,767367;-46,227519
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;928,416;Crescente;-22,768357;-46,229149
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;928,427;Crescente;-22,768477;-46,229275
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;931,314;Crescente;-22,787724;-46,242605
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;931,514;Crescente;-22,788398;-46,244413
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;931,714;Crescente;-22,789924;-46,245455
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;931,914;Crescente;-22,791693;-46,245852
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;931,980;Crescente;-22,792285;-46,246153
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;935,000;Decrescente;-22,808349;-46,266243
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;935,070;Decrescente;-22,808417;-46,266922
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;935,270;Decrescente;-22,807970;-46,268752
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;935,470;Decrescente;-22,807891;-46,270686
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;935,670;Decrescente;-22,808176;-46,272609
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;935,870;Decrescente;-22,808513;-46,274516
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;936,070;Decrescente;-22,808610;-46,276455
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;936,270;Decrescente;-22,808547;-46,278398
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;927,435;Decrescente;-22,766654;-46,220498
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;927,635;Decrescente;-22,766190;-46,222380
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;927,835;Decrescente;-22,766839;-46,224198
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;928,035;Decrescente;-22,767528;-46,225999
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;928,235;Decrescente;-22,767828;-46,227919
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;928,400;Decrescente;-22,768619;-46,228996
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;898,559;Decrescente;-22,613132;-46,064593
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;898,722;Decrescente;-22,614101;-46,065794
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;898,759;Decrescente;-22,614368;-46,066013
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;898,776;Decrescente;-22,614367;-46,066190
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;898,809;Decrescente;-22,614515;-46,066448
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;898,914;Decrescente;-22,615166;-46,067197
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;898,959;Decrescente;-22,615629;-46,067406
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;899,159;Decrescente;-22,616932;-46,068753
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;899,359;Decrescente;-22,618229;-46,070108
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;899,559;Decrescente;-22,619521;-46,071468
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;899,735;Decrescente;-22,620143;-46,072095
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;896,500;Decrescente;-22,595498;-46,055909
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;896,600;Decrescente;-22,597090;-46,056504
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;896,800;Decrescente;-22,598857;-46,056910
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;897,000;Decrescente;-22,600528;-46,057544
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;897,200;Decrescente;-22,602234;-46,058214
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;897,400;Decrescente;-22,603968;-46,058857
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;897,600;Decrescente;-22,605669;-46,059446
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;897,800;Decrescente;-22,607398;-46,060023
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;898,000;Decrescente;-22,609188;-46,060690
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;877,177;Decrescente;-22,441482;-45,988508
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;877,190;Decrescente;-22,441526;-45,988622
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;877,390;Decrescente;-22,442599;-45,990181
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;877,590;Decrescente;-22,443850;-45,991575
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;877,790;Decrescente;-22,445189;-45,992850
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;877,990;Decrescente;-22,446447;-45,994268
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;866,070;Decrescente;-22,364030;-45,930831
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;866,127;Decrescente;-22,364531;-45,931001
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;866,327;Decrescente;-22,366254;-45,931572
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;866,527;Decrescente;-22,367877;-45,932383
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;866,727;Decrescente;-22,369159;-45,933714
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;866,927;Decrescente;-22,370406;-45,935131
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;867,127;Decrescente;-22,371737;-45,936449
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;867,327;Decrescente;-22,373062;-45,937763
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;867,527;Decrescente;-22,374455;-45,938987
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;867,727;Decrescente;-22,375829;-45,940270
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;867,927;Decrescente;-22,377204;-45,941500
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;868,127;Decrescente;-22,378585;-45,942781
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;868,327;Decrescente;-22,379995;-45,943988
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;868,527;Decrescente;-22,381331;-45,945308
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;868,727;Decrescente;-22,382556;-45,946696
