concessionaria,ano_do_pnv_snv,rodovia,km_m,sentido,latitude,longitude
ECO101,2020,BR-101/BA,941.274,Crescente,-18.057026,-39.873942
ECO101,2020,BR-101/BA,941.274,Decrescente,-18.057026,-39.873942
ECO101,2020,BR-101/BA,941.294,Crescente,-18.05718,-39.87403
ECO101,2020,BR-101/BA,941.294,Decrescente,-18.05718,-39.87403
ECO101,2020,BR-101/BA,941.314,Crescente,-18.057339,-39.874122
ECO101,2020,BR-101/BA,941.314,Decrescente,-18.057339,-39.874122
ECO101,2020,BR-101/BA,941.334,Crescente,-18.057497,-39.874213
ECO101,2020,BR-101/BA,941.334,Decrescente,-18.057497,-39.874213
ECO101,2020,BR-101/BA,941.354,Crescente,-18.057656,-39.874304
ECO101,2020,BR-101/BA,941.354,Decrescente,-18.057656,-39.874304
ECO101,2020,BR-101/BA,941.374,Crescente,-18.05781,-39.874392
ECO101,2020,BR-101/BA,941.374,Decrescente,-18.05781,-39.874392
ECO101,2020,BR-101/BA,941.394,Crescente,-18.057973,-39.874486
ECO101,2020,BR-101/BA,941.394,Decrescente,-18.057973,-39.874486
ECO101,2020,BR-101/BA,941.414,Crescente,-18.058131,-39.874578
ECO101,2020,BR-101/BA,941.414,Decrescente,-18.058131,-39.874578
ECO101,2020,BR-101/BA,941.434,Crescente,-18.058289,-39.874671
ECO101,2020,BR-101/BA,941.434,Decrescente,-18.058289,-39.874671
ECO101,2020,BR-101/BA,941.454,Crescente,-18.058446,-39.874764
ECO101,2020,BR-101/BA,941.454,Decrescente,-18.058446,-39.874764
ECO101,2020,BR-101/BA,941.474,Crescente,-18.058605,-39.874855
ECO101,2020,BR-101/BA,941.474,Decrescente,-18.058605,-39.874855
ECO101,2020,BR-101/BA,941.494,Crescente,-18.058763,-39.874946
ECO101,2020,BR-101/BA,941.494,Decrescente,-18.058763,-39.874946
ECO101,2020,BR-101/BA,941.514,Crescente,-18.05892,-39.87504
ECO101,2020,BR-101/BA,941.514,Decrescente,-18.05892,-39.87504
ECO101,2020,BR-101/BA,941.534,Crescente,-18.059071,-39.875131
ECO101,2020,BR-101/BA,941.534,Decrescente,-18.059071,-39.875131
ECO101,2020,BR-101/BA,941.554,Crescente,-18.059234,-39.875228
ECO101,2020,BR-101/BA,941.554,Decrescente,-18.059234,-39.875228
ECO101,2020,BR-101/BA,941.574,Crescente,-18.059393,-39.875319
ECO101,2020,BR-101/BA,941.574,Decrescente,-18.059393,-39.875319
ECO101,2020,BR-101/BA,941.594,Crescente,-18.059551,-39.875411
ECO101,2020,BR-101/BA,941.594,Decrescente,-18.059551,-39.875411
ECO101,2020,BR-101/BA,941.614,Crescente,-18.059709,-39.875502
ECO101,2020,BR-101/BA,941.614,Decrescente,-18.059709,-39.875502
ECO101,2020,BR-101/BA,941.634,Crescente,-18.059868,-39.875593
ECO101,2020,BR-101/BA,941.634,Decrescente,-18.059868,-39.875593
ECO101,2020,BR-101/BA,941.654,Crescente,-18.060026,-39.875684
ECO101,2020,BR-101/BA,941.654,Decrescente,-18.060026,-39.875684
ECO101,2020,BR-101/BA,941.674,Crescente,-18.060185,-39.875776
ECO101,2020,BR-101/BA,941.674,Decrescente,-18.060185,-39.875776
ECO101,2020,BR-101/BA,941.694,Crescente,-18.060342,-39.875868
ECO101,2020,BR-101/BA,941.694,Decrescente,-18.060342,-39.875868
ECO101,2020,BR-101/BA,941.714,Crescente,-18.0605,-39.875961
